名称,地址,电话,营业时间
星際城市,九龍旺角山東街47-51號中僑商業中心星際城市商場地下,3755 4416,星期一至日: 08:30-23:00
荃威花園,新界荃灣荃威花園1期9A舖,3580 7942,星期一至日: 08:30-22:00
大同,九龍大角咀道117號大同新村大公樓一樓,2789 4020,星期一至日: 08:00-22:00
平田,九龍藍田安田街23號平田商場1樓101號舖,2191 3513,星期一至日: 08:30-22:00
美孚 2,九龍美孚新村百老匯街69-71號地下,2370 4893,星期一至日: 07:30-23:00
仁安,九龍旺角廣華街1號仁安大廈地下6號舖,3586 9160,星期一至日: 08:30-23:00
美孚,九龍美孚新村第二期吉利徑39-45號7A舖,2742 0961,星期一至日: 08:00-22:30
紅磡中心,九龍紅磡馬頭圍道37 -39號紅磡商業中心地下一號,2764 3119,星期一至日: 08:00-23:00
如心廣場,新界荃灣楊屋道8號如心廣場一期2樓222號舖,2422 2371,星期一至日: 09:00-22:00
賢麗苑,新界葵涌麗景山路賢麗苑商場3A號舖,3580 0277,星期一至日: 07:30-23:00
荃灣中心,新界荃灣荃景圍87-105號荃灣中心商場II期地下8-13號舖,3105 0753,星期一至日: 08:00-21:00
彩明,新界將軍澳彩明街1號彩明苑彩明商場3樓307 B舖,3104 4991,星期一至日: 08:00-22:00
上海街,九龍上海街438-444號地下,2388 1430,星期一至日: 08:00-02:00
廣田,九龍藍田廣田村廣田商場地下6室,2717 1246,星期一至日: 08:00-22:00
上水名都,"新界上水上水名都中心第一層3, 15至16, 18, 20至21號舖和入口大堂",2639 0174,星期一至日: 08:00-22:30
德民,九龍紅磡德民街1-15號繽紛購物城一樓F舖,2334 6276,星期一至日: 08:30-21:00
海富苑,九龍旺角海庭道海富購物中心地面23號舖,3580 8158,星期一至日: 07:30-22:30
海濱花園,新界荃灣海濱花園商場地下8號舖,2944 9760,星期一至日: 09:00-21:00
紅磡,九龍紅磡湖光街1-7號聯盛大廈地下10C-10G,2333 9205,星期一至日: 08:00-24:00
天晉滙,新界將軍澳至善街19號天晉滙三期1樓103號,2750 5503,星期一至日: 08:30-22:00
駿發花園,九龍眾坊街3號駿發花園5座地下1-11號,2332 6158,星期一至日: 08:00-22:00
彩園,新界上水彩園村彩園購物中心地下G6號舖,3124 0140,星期一至日: 08:00-23:00
翩滙坊,新界將軍澳至善街19號天晉滙三期一樓103號舖 (將軍澳市地段第114號）,2278 0961,星期一至日: 08:30-22:00
蔚景花園,新界荃灣青山道520 號蔚景園地下1及2號舖,2492 4696,星期一至日: 08:00-21:00
新康街,新界上水新康街67號行樂坊地下10至12號舖,2415 0792,星期一至日: 08:30-21:30
新豐,新界上水新豐路130-132號地庫,2673 2127,星期一至日: 08:30-21:30
新豐3,新界上水新豐路100號地下,24653083,星期一至日: 08:30-22:00
油麻地,九龍彌敦道319號金漢大廈地庫,2780 4669,星期一至日: 08:30-24:00
翠麗,新界上水新豐路翠麗花園商場25-29室,2679 3914,星期一至日: 09:00-21:30
鯉魚門,九龍油塘鯉魚門道鯉魚門廣場1樓123&124舖,2174 5146,星期一至日: 08:00-23:00
沙頭角,新界沙頭角村25-27座地下1-4號,2674 4608,星期一至日: 08:00-21:00
